"2013-01-01",1,0
"2013-01-02",-2,0
"2013-01-03",-2,0
"2013-01-04",1,0
"2013-01-05",3,0
"2013-01-06",4,0
"2013-01-07",5,0
"2013-01-08",6,0
"2013-01-09",7,0
"2013-01-10",7,0
"2013-01-11",6,13.97
"2013-01-12",7,0.51
"2013-01-13",8,0
"2013-01-14",8,2.29
"2013-01-15",3,3.05
"2013-01-16",2,17.53
"2013-01-17",4,0
"2013-01-18",-1,0
"2013-01-19",5,0
"2013-01-20",6,0
"2013-01-21",-2,0
"2013-01-22",-7,0
"2013-01-23",-9,0
"2013-01-24",-8,0
"2013-01-25",-7,1.78
"2013-01-26",-6,0
"2013-01-27",-3,0
"2013-01-28",1,5.59
"2013-01-29",6,1.52
"2013-01-30",9,1.02
"2013-01-31",8,22.86
"2013-02-01",-2,0
"2013-02-02",-4,0.51
"2013-02-03",-3,0.51
"2013-02-04",-3,0
"2013-02-05",-1,0.51
"2013-02-06",1,0
"2013-02-07",-2,0
"2013-02-08",-1,29.21
"2013-02-09",-3,9.65
"2013-02-10",-3,0
"2013-02-11",4,12.45
"2013-02-12",4,0
"2013-02-13",4,0.76
"2013-02-14",4,0
"2013-02-15",8,0
"2013-02-16",2,0.51
"2013-02-17",-4,0
"2013-02-18",-3,0
"2013-02-19",5,3.81
"2013-02-20",0,0
"2013-02-21",-2,0
"2013-02-22",0,0
"2013-02-23",4,6.6
"2013-02-24",5,0.25
"2013-02-25",4,0
"2013-02-26",4,3.56
"2013-02-27",6,39.62
"2013-02-28",7,0
"2013-03-01",5,0
"2013-03-02",2,0
"2013-03-03",2,0
"2013-03-04",2,0
"2013-03-05",4,0
"2013-03-06",4,0
"2013-03-07",2,4.83
"2013-03-08",3,14.22
"2013-03-09",7,0
"2013-03-10",6,0
"2013-03-11",8,0
"2013-03-12",10,20.07
"2013-03-13",7,0
"2013-03-14",2,0
"2013-03-15",4,0
"2013-03-16",3,3.05
"2013-03-17",1,0
"2013-03-18",0,15.24
"2013-03-19",3,9.14
"2013-03-20",4,0
"2013-03-21",2,0
"2013-03-22",2,0
"2013-03-23",4,0
"2013-03-24",4,0
"2013-03-25",3,4.32
"2013-03-26",7,0
"2013-03-27",7,0
"2013-03-28",7,0
"2013-03-29",9,0
"2013-03-30",10,0
"2013-03-31",9,2.03
"2013-04-01",10,0
"2013-04-02",3,0
"2013-04-03",4,0
"2013-04-04",6,0
