18.0,130.0,3504.0
15.0,165.0,3693.0
18.0,150.0,3436.0
16.0,150.0,3433.0
17.0,140.0,3449.0
15.0,198.0,4341.0
14.0,220.0,4354.0
14.0,215.0,4312.0
14.0,225.0,4425.0
15.0,190.0,3850.0
15.0,170.0,3563.0
14.0,160.0,3609.0
15.0,150.0,3761.0
14.0,225.0,3086.0
24.0,95.0,2372.0
22.0,95.0,2833.0
18.0,97.0,2774.0
21.0,85.0,2587.0
27.0,88.0,2130.0
26.0,46.0,1835.0
25.0,87.0,2672.0
24.0,90.0,2430.0
25.0,95.0,2375.0
26.0,113.0,2234.0
21.0,90.0,2648.0
10.0,215.0,4615.0
10.0,200.0,4376.0
11.0,210.0,4382.0
9.0,193.0,4732.0
27.0,88.0,2130.0
28.0,90.0,2264.0
25.0,95.0,2228.0
19.0,100.0,2634.0
16.0,105.0,3439.0
17.0,100.0,3329.0
19.0,88.0,3302.0
18.0,100.0,3288.0
14.0,165.0,4209.0
14.0,175.0,4464.0
14.0,153.0,4154.0
14.0,150.0,4096.0
12.0,180.0,4955.0
13.0,170.0,4746.0
13.0,175.0,5140.0
18.0,110.0,2962.0
22.0,72.0,2408.0
19.0,100.0,3282.0
18.0,88.0,3139.0
23.0,86.0,2220.0
28.0,90.0,2123.0
30.0,70.0,2074.0
30.0,76.0,2065.0
31.0,65.0,1773.0
35.0,69.0,1613.0
27.0,60.0,1834.0
26.0,70.0,1955.0
24.0,95.0,2278.0
25.0,80.0,2126.0
23.0,54.0,2254.0
20.0,90.0,2408.0
21.0,86.0,2226.0
13.0,165.0,4274.0
14.0,175.0,4385.0
15.0,150.0,4135.0
14.0,153.0,4129.0
17.0,150.0,3672.0
11.0,208.0,4633.0
13.0,155.0,4502.0
12.0,160.0,4456.0
13.0,190.0,4422.0
19.0,97.0,2330.0
15.0,150.0,3892.0
13.0,130.0,4098.0
13.0,140.0,4294.0
14.0,150.0,4077.0
18.0,112.0,2933.0
22.0,76.0,2511.0
21.0,87.0,2979.0
26.0,69.0,2189.0
22.0,86.0,2395.0
28.0,92.0,2288.0
23.0,97.0,2506.0
28.0,80.0,2164.0
27.0,88.0,2100.0
13.0,175.0,4100.0
14.0,150.0,3672.0
13.0,145.0,3988.0
14.0,137.0,4042.0
15.0,150.0,3777.0
12.0,198.0,4952.0
13.0,150.0,4464.0
13.0,158.0,4363.0
14.0,150.0,4237.0
13.0,215.0,4735.0
12.0,225.0,4951.0
13.0,175.0,3821.0
18.0,105.0,3121.0
16.0,100.0,3278.0
18.0,100.0,2945.0
18.0,88.0,3021.0
23.0,95.0,2904.0
26.0,46.0,1950.0
11.0,150.0,4997.0
12.0,167.0,4906.0
13.0,170.0,4654.0
12.0,180.0,4499.0
18.0,100.0,2789.0
20.0,88.0,2279.0
21.0,72.0,2401.0
22.0,94.0,2379.0
18.0,90.0,2124.0
19.0,85.0,2310.0
21.0,107.0,2472.0
26.0,90.0,2265.0
15.0,145.0,4082.0
16.0,230.0,4278.0
29.0,49.0,1867.0
24.0,75.0,2158.0
20.0,91.0,2582.0
19.0,112.0,2868.0
15.0,150.0,3399.0
24.0,110.0,2660.0
20.0,122.0,2807.0
11.0,180.0,3664.0
20.0,95.0,3102.0
19.0,100.0,2901.0
15.0,100.0,3336.0
31.0,67.0,1950.0
26.0,80.0,2451.0
32.0,65.0,1836.0
25.0,75.0,2542.0
16.0,100.0,3781.0
16.0,110.0,3632.0
18.0,105.0,3613.0
16.0,140.0,4141.0
13.0,150.0,4699.0
14.0,150.0,4457.0
14.0,140.0,4638.0
14.0,150.0,4257.0
29.0,83.0,2219.0
26.0,67.0,1963.0
26.0,78.0,2300.0
31.0,52.0,1649.0
32.0,61.0,2003.0
28.0,75.0,2125.0
24.0,75.0,2108.0
26.0,75.0,2246.0
24.0,97.0,2489.0
26.0,93.0,2391.0
31.0,67.0,2000.0
